,trade_date,open,high,low,close,volume
0,20061027,1.439957202390919,1.4568976505114903,1.3806647605645643,1.3891352415084839,2628043909
1,20061030,1.3849000650565086,1.4060758052190874,1.376429584035259,1.3933700323104858,358121850
2,20061031,1.3891352300891686,1.4103109698843523,1.3891352300891686,1.397605299949646,234181010
3,20061101,1.397605299949646,1.401840489010064,1.3891352300891686,1.397605299949646,135233965
4,20061102,1.3976053114385891,1.3976053114385891,1.3764295714693313,1.3891352415084839,178241665
5,20061103,1.3849002358100448,1.427251618603531,1.3849002358100448,1.4230164289474487,407064414
6,20061106,1.4103109857734326,1.43148672580719,1.4060757966652995,1.43148672580719,213693891
7,20061107,1.4314866612882762,1.452662400367616,1.4272513696175793,1.4399571418762207,302021935
8,20061108,1.4399573930787117,1.4399573930787117,1.4187816503052353,1.4230164289474487,154497814
9,20061109,1.4230161807003314,1.4399571418762207,1.4187814027968808,1.4399571418762207,181083651
10,20061110,1.4399572222497934,1.4907790810796742,1.4399572222497934,1.4653681516647339,773075959
11,20061113,1.4611331581249847,1.5204255059535572,1.4568978656508744,1.4907792806625366,471539820
12,20061114,1.5161901062889311,1.533131068332651,1.4950143661248267,1.524660587310791,439522035
13,20061115,1.5288956605055906,1.5458362102508545,1.5246604716925511,1.5458362102508545,350677614
14,20061116,1.5670121394621581,1.664421185753148,1.5543067769841157,1.6093640327453613,699830075
15,20061117,1.605128740663582,1.6305397738800445,1.5839529995288988,1.6093640327453613,320389208
16,20061120,1.6093637242995846,1.6601855754852295,1.6093637242995846,1.6601855754852295,323653445
17,20061121,1.6559504820605935,1.6771262203528035,1.6347747437683837,1.6644209623336792,237166633
18,20061122,1.6559505703646018,1.6728915318141546,1.6135990915217782,1.6517152786254883,288451587
19,20061123,1.660185698202404,1.6983023976694565,1.660185698202404,1.681361436843872,308281415
20,20061124,1.6601855754852295,1.6686560552719027,1.634774649892407,1.6601855754852295,192561522
21,20061127,1.6474801811757471,1.651715370396722,1.592423029563445,1.613599181175232,305761876
22,20061128,1.6008935503124744,1.6135992210427772,1.571247327786632,1.5881882905960083,246708049
23,20061129,1.5543068006528271,1.609364057252475,1.545836421867201,1.6051287651062012,248615910
24,20061130,1.6093639919542573,1.6220692513568118,1.5966582187844196,1.613599181175232,235913920
25,20061201,1.6220693041563838,1.6220693041563838,1.5839530109407234,1.5924230813980103,279034906
26,20061204,1.5924229179111618,1.6813614743019039,1.5754823677219576,1.6559505462646484,417930355
27,20061205,1.6559507184356135,1.6855969412326937,1.6347749771207194,1.6432454586029053,270916476
28,20061206,1.64324522943879,1.6559504874996451,1.5924228614005744,1.626304268836975,268127325
29,20061207,1.6263043639106534,1.6728915458986227,1.6135991051070493,1.6305396556854248,342809716
30,20061208,1.6220693304998215,1.681361674226054,1.613599259904975,1.6390101909637451,393685435
31,20061211,1.6347751553339167,1.732184315826294,1.6305399655078594,1.7279490232467651,466656561
32,20061212,1.7364185435899115,1.8338275761805083,1.7279485771383924,1.82535719871521,552661331
33,20061213,1.8338276036539465,1.859238530923645,1.7830057491145492,1.8168872594833374,304327501
34,20061214,1.8168874272957614,1.821122102715754,1.7787706218568613,1.8084168434143066,188099515
35,20061215,1.816887445345284,1.8380630832316396,1.8041815693968777,1.8295927047729492,176361165
36,20061218,1.8295926182437265,1.9354716246956911,1.816887359416947,1.931236743927002,285610653
37,20061219,1.9397070919407584,2.04135143232551,1.935471799775144,2.003234624862671,340110428
38,20061220,1.9862934350967407,2.0117045634123794,1.9524121361827458,1.9862934350967407,210833297
39,20061221,1.9862939556553065,2.024410349857845,1.960882615173127,1.969353199005127,198562235
40,20061222,1.9608827067838692,2.024410444436548,1.9481774469630215,2.007469892501831,197014730
41,20061225,2.0328804519564114,2.2065224647521973,2.0328804519564114,2.2065224647521973,449152184
42,20061226,2.2065223283372934,2.4098103404142726,2.18958136952948,2.3335771560668945,589815673
43,20061227,2.316637316902045,2.4140463699183305,2.231933935501402,2.40557599067688,409754435
44,20061228,2.401340370122924,2.558041439892978,2.37169414958292,2.4775731563568115,525306010
45,20061229,2.498750020825324,2.693567736856381,2.4648685002051796,2.625804901123047,686172721
46,20070104,2.6681562282103766,2.8756791615934603,2.4902791052283026,2.562276601791382,984888205
47,20070105,2.486044347450483,2.486044347450483,2.308166980743408,2.308166980743408,822999761
48,20070108,2.2700502064235986,2.350518283649123,2.2361688999335407,2.346283197402954,656349698
49,20070109,2.346283509091046,2.4521625288727082,2.2954614398511355,2.447927236557007,655811692
50,20070110,2.536865130485253,2.536865130485253,2.3716937130338582,2.4098103046417236,796196155
51,20070111,2.39710467268513,2.39710467268513,2.299696060478746,2.3335771560668945,564624258
52,20070112,2.3039310106454325,2.3420476039788958,2.2361686119004576,2.2573442459106445,431543907
